,combo_set,features,n_patients,sampling
0,1,['heart rate'],480,1
1,2,"['respiratory rate', 'heart rate']",414,1
2,3,"['systolic blood pressure', 'respiratory rate', 'heart rate']",222,1
3,4,"['diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",221,1
4,5,"['mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",209,1
5,6,"['oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",160,1
6,7,"['temperature', 'oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",2,1
0,1,['heart rate'],5383,2
1,2,"['respiratory rate', 'heart rate']",5001,2
2,3,"['systolic blood pressure', 'respiratory rate', 'heart rate']",4174,2
3,4,"['diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",4170,2
4,5,"['mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",4000,2
5,6,"['oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",3353,2
6,7,"['temperature', 'oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",15,2
0,1,['heart rate'],16631,4
1,2,"['respiratory rate', 'heart rate']",15943,4
2,3,"['systolic blood pressure', 'respiratory rate', 'heart rate']",15039,4
3,4,"['diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",15031,4
4,5,"['mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",14646,4
5,6,"['oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",13079,4
6,7,"['temperature', 'oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",2810,4
7,8,"['glucose', 'temperature', 'oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",224,4
0,1,['heart rate'],22145,6
1,2,"['respiratory rate', 'heart rate']",21429,6
2,3,"['systolic blood pressure', 'respiratory rate', 'heart rate']",20673,6
3,4,"['diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",20668,6
4,5,"['mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",20298,6
5,6,"['oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",18858,6
6,7,"['temperature', 'oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",9164,6
7,8,"['glucose', 'temperature', 'oxygen saturation', 'mean blood pressure', 'diastolic blood pressure', 'systolic blood pressure', 'respiratory rate', 'heart rate']",2081,6
