,bp,hr,rr,spo2,tmp,missing_pattern,imputation_method,metric,exp,sum_error
error,5.712605161842293,6.954584343362327,2.7699843148438617,1.4591472978753743,0.44495223156994157,mcar,locf,mae,0,17.3412733494938
error,5.845786396691858,6.927563097105375,2.6987523171253383,1.426208469984315,0.44196991301867966,mcar,locf,mae,0,17.34028019392557
error,5.903821474404677,6.836589191501497,2.7591330386425215,1.4467417652930272,0.43224012548124907,mcar,locf,mae,0,17.378525595322973
error,5.886353914159418,6.876657635819193,2.8478611150720092,1.425281619848852,0.44076001711107937,mcar,locf,mae,0,17.47691430201055
error,5.862398402965921,6.931127905318694,2.6739269927277913,1.459289890203907,0.4527855411378868,mcar,locf,mae,0,17.3795287323542
error,68.02231569941537,109.47747041209183,59.061271923570516,7.171395978896335,1.8122422643661773,mcar,locf,mse,0,245.54469627834024
error,71.05568230429203,111.17382004848139,46.33459931555682,6.553543419364038,1.6996281833737341,mcar,locf,mse,0,236.81727327106802
error,74.1945672322829,104.47982318551261,47.79822900327962,6.640239555111935,1.5624326251247682,mcar,locf,mse,0,234.67529160131184
error,73.84043918437187,108.50192499643519,101.34826679024668,6.855625267360616,1.771898616854413,mcar,locf,mse,0,292.31815485526874
error,72.4671324682732,111.07657208042207,31.40792884642806,7.419078853557679,1.9032036860116928,mcar,locf,mse,0,224.2739159346927
error,12.90239555111935,24.004634250677313,9.969827463282474,3.033224012548125,0.7503564808213321,mcar,median,mae,1,50.660437758448595
error,12.848638243262512,23.880293740196777,9.441316127192358,2.9786111507200914,0.7481035220305149,mcar,median,mae,1,49.89696278340225
error,13.038000855553971,23.87302153144161,9.778639669185798,3.0258805076286897,0.7591544274918011,mcar,median,mae,1,50.474696991301876
error,12.930771424497362,24.096178525595324,9.786867246542137,3.00156851561386,0.7580564665620991,mcar,median,mae,1,50.57344217881079
error,12.924426065877656,23.909739056038784,9.696235562526738,3.0104805361471554,0.7535291601311851,mcar,median,mae,1,50.29441038072152
error,263.5379295593897,832.7553828604022,270.1582033366605,26.462569513760158,2.55693497789819,mcar,median,mse,1,1395.4710202481108
error,260.0072009125909,820.3056466562099,214.8101618422929,25.287466134321974,2.4628083559104526,mcar,median,mse,1,1322.8732839013262
error,270.10074148010835,822.3458576928562,257.4207970911165,26.44239269927278,2.6060195351490094,mcar,median,mse,1,1378.9158084985029
